consumer,resource,res.order,res.family,res.genus,con.order,con.family,con.genus,linkevidence,source.id
Anguilla dieffenbachii,Archichauliodes diversus,Megaloptera,Corydalidae,Archichauliodes,Anguilliformes,Anguillidae,Anguilla,,"Jellyman D.J. (1996) Diet of longfinned eels, Anguilla dieffenbachii, in Lake Rotoiti, Nelson Lakes, New Zealand. New Zealand Journal of Marine and Freshwater Research 30, 365–369."
Anguilla dieffenbachii,Austroperla,Plecoptera,Austroperlidae,Austroperla,Anguilliformes,Anguillidae,Anguilla,,"Jellyman D.J. (1996) Diet of longfinned eels, Anguilla dieffenbachii, in Lake Rotoiti, Nelson Lakes, New Zealand. New Zealand Journal of Marine and Freshwater Research 30, 365–369."
Anguilla dieffenbachii,Chironomidae,Diptera,Chironomidae,,Anguilliformes,Anguillidae,Anguilla,,"Jellyman D.J. (1996) Diet of longfinned eels, Anguilla dieffenbachii, in Lake Rotoiti, Nelson Lakes, New Zealand. New Zealand Journal of Marine and Freshwater Research 30, 365–369."
Anguilla dieffenbachii,Colobursicus,Ephemeroptera,Coloburiscidae,Coloburiscus,Anguilliformes,Anguillidae,Anguilla,,"Jellyman D.J. (1996) Diet of longfinned eels, Anguilla dieffenbachii, in Lake Rotoiti, Nelson Lakes, New Zealand. New Zealand Journal of Marine and Freshwater Research 30, 365–369."
Anguilla dieffenbachii,Deleatidium,Ephemeroptera,Leptophlebiidae,Deleatidium,Anguilliformes,Anguillidae,Anguilla,,"Jellyman D.J. (1996) Diet of longfinned eels, Anguilla dieffenbachii, in Lake Rotoiti, Nelson Lakes, New Zealand. New Zealand Journal of Marine and Freshwater Research 30, 365–369."
Anguilla dieffenbachii,Gobiomorphus,Perciformes,Eleotridae,Gobiomorphus,Anguilliformes,Anguillidae,Anguilla,,"Jellyman D.J. (1996) Diet of longfinned eels, Anguilla dieffenbachii, in Lake Rotoiti, Nelson Lakes, New Zealand. New Zealand Journal of Marine and Freshwater Research 30, 365–369."
Anguilla dieffenbachii,Hydrobiosis,Trichoptera,Hydrobiosidae,Hydrobiosis,Anguilliformes,Anguillidae,Anguilla,,"Jellyman D.J. (1996) Diet of longfinned eels, Anguilla dieffenbachii, in Lake Rotoiti, Nelson Lakes, New Zealand. New Zealand Journal of Marine and Freshwater Research 30, 365–369."
Anguilla dieffenbachii,Hyridella,Mollusca,Unionidae,Hyridella,Anguilliformes,Anguillidae,Anguilla,,"Jellyman D.J. (1996) Diet of longfinned eels, Anguilla dieffenbachii, in Lake Rotoiti, Nelson Lakes, New Zealand. New Zealand Journal of Marine and Freshwater Research 30, 365–369."
Anguilla dieffenbachii,Lymnaea,Mollusca,Lymnaeidae,Lymnaea,Anguilliformes,Anguillidae,Anguilla,,"Jellyman D.J. (1996) Diet of longfinned eels, Anguilla dieffenbachii, in Lake Rotoiti, Nelson Lakes, New Zealand. New Zealand Journal of Marine and Freshwater Research 30, 365–369."
Anguilla dieffenbachii,Oecetis,Trichoptera,Leptoceridae,,Anguilliformes,Anguillidae,Anguilla,,"Jellyman D.J. (1996) Diet of longfinned eels, Anguilla dieffenbachii, in Lake Rotoiti, Nelson Lakes, New Zealand. New Zealand Journal of Marine and Freshwater Research 30, 365–369."
